City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bakchar,44,RU,1524139567,67,57.02,82.07,35.38,4.63
1,novyy buh,0,UA,1524138000,44,47.69,32.52,59.0,20.13
2,pevek,8,RU,1524139568,53,69.7,170.27,15.49,4.52
3,nikolskoye,0,RU,1524137400,50,59.7,30.79,57.2,11.18
4,mataura,92,NZ,1524139568,93,-46.19,168.86,50.86,14.7
5,rikitea,36,PF,1524139569,100,-23.12,-134.97,75.97,14.58
6,victoria,90,BN,1524137400,88,5.28,115.24,84.2,6.93
7,haines junction,56,CA,1524139570,64,60.75,-137.51,10.27,2.06
8,sechura,20,PE,1524139570,94,-5.56,-80.82,64.9,8.43
9,hermanus,8,ZA,1524139570,59,-34.42,19.24,64.54,6.08
10,itarema,8,BR,1524139571,97,-2.92,-39.92,83.08,9.55
11,bredasdorp,56,ZA,1524135600,40,-34.53,20.04,71.6,13.87
12,butaritari,88,KI,1524139571,100,3.07,172.79,83.26,14.14
13,georgetown,75,GY,1524135600,94,6.8,-58.16,75.2,2.24
14,awjilah,92,LY,1524139572,27,29.14,21.3,86.14,14.7
15,chuy,0,UY,1524139343,80,-33.69,-53.46,73.36,11.56
16,barrow,68,AR,1524139573,94,-38.31,-60.23,64.27,5.08
17,kodiak,1,US,1524135180,92,39.95,-94.76,28.4,3.36
18,manono,0,CD,1524139573,50,-7.3,27.4,93.07,4.97
19,ekhabi,8,RU,1524139574,75,53.51,142.97,20.08,5.53
20,buala,76,SB,1524139574,97,-8.15,159.59,80.74,4.97
21,akureyri,0,IS,1524135600,58,65.68,-18.09,53.6,4.7
22,albany,90,US,1524138660,80,42.65,-73.75,35.6,3.36
23,hobart,75,AU,1524137400,81,-42.88,147.33,51.8,4.7
24,cabo san lucas,5,MX,1524138240,44,22.89,-109.91,60.8,17.72
25,new norfolk,75,AU,1524137400,81,-42.78,147.06,51.8,4.7
26,avarua,20,CK,1524135600,73,-21.21,-159.78,77.0,9.17
27,caravelas,64,BR,1524139576,100,-17.73,-39.27,78.49,16.15
28,jalu,92,LY,1524139576,24,29.03,21.55,90.01,13.02
29,linjiang,0,CN,1524139577,70,41.81,126.91,48.34,3.51
30,takapau,12,NZ,1524139577,70,-40.02,176.35,55.9,17.6
31,bellavista,24,CO,1524139577,94,10.27,-74.82,77.95,4.41
32,yar-sale,80,RU,1524139578,91,66.83,70.83,21.07,15.82
33,ushuaia,75,AR,1524135600,86,-54.81,-68.31,41.0,3.96
34,saskylakh,8,RU,1524139578,83,71.97,114.09,5.41,3.51
35,provideniya,0,RU,1524139579,100,64.42,-173.23,25.21,15.59
36,nome,90,US,1524138900,39,30.04,-94.42,64.4,11.41
37,kiunga,32,PG,1524139579,95,-6.12,141.3,76.51,2.06
38,majene,48,ID,1524139579,97,-3.54,118.97,83.8,10.67
39,almaznyy,92,RU,1524139580,62,48.03,40.04,55.54,16.71
40,fortuna,0,ES,1524139200,72,38.18,-1.13,73.4,11.41
41,stepnogorsk,0,KZ,1524139581,76,52.35,71.88,39.34,5.19
42,minab,20,IR,1524137400,51,27.15,57.07,86.0,20.8
43,cape town,75,ZA,1524135600,77,-33.93,18.42,62.6,9.17
44,rumoi,40,JP,1524135600,70,43.93,141.67,46.4,3.36
45,abeche,0,TD,1524135600,10,13.83,20.83,102.2,13.87
46,kapaa,90,US,1524137160,83,22.08,-159.32,75.2,14.99
47,gat,0,SN,1524139582,53,14.69,-16.54,82.63,11.01
48,nemuro,44,JP,1524139583,100,43.32,145.57,35.47,7.76
49,yangambi,0,CD,1524139583,39,0.77,24.47,97.75,2.73
