City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,matay,0,EG,1524006813,58,28.42,30.79,65.45,2.48
1,oriximina,76,BR,1524006813,91,-1.77,-55.87,77.82,3.71
2,concordia,0,AR,1524006814,69,-31.4,-58.02,75.17,6.06
3,albany,90,US,1524005640,55,42.65,-73.75,39.2,9.17
4,butaritari,76,KI,1524006757,100,3.07,172.79,81.78,11.21
5,kaitangata,0,NZ,1524006815,69,-46.28,169.85,50.6,18.7
6,yellowknife,90,CA,1524003120,92,62.45,-114.38,26.6,12.75
7,kintampo,12,GH,1524006816,83,8.05,-1.73,75.35,7.63
8,hammond,1,US,1524004500,31,30.5,-90.46,80.6,14.99
9,amapa,92,HN,1524006817,88,15.09,-87.97,67.52,2.37
10,saint-augustin,0,FR,1524006000,82,44.83,-0.61,57.2,3.36
11,port elizabeth,90,US,1524005700,45,39.31,-74.98,44.6,10.29
12,mecca,0,SA,1524002400,32,21.43,39.83,84.2,2.48
13,ushuaia,75,AR,1524002400,70,-54.81,-68.31,46.4,6.93
14,otjimbingwe,0,NA,1524006819,90,-22.35,16.13,60.99,2.26
15,port alfred,0,ZA,1524006819,86,-33.59,26.89,69.5,5.39
16,khatanga,48,RU,1524006758,87,71.98,102.47,10.1,6.96
17,bethel,90,US,1524005580,60,60.79,-161.76,42.8,16.11
18,taoudenni,0,ML,1524006820,26,22.68,-3.98,60.09,2.82
19,georgetown,20,GY,1524002400,78,6.8,-58.16,80.6,9.17
20,provideniya,90,RU,1524004200,69,64.42,-173.23,33.8,15.66
21,serenje,0,ZM,1524006821,88,-13.23,30.22,56.81,6.29
22,puerto ayora,20,EC,1524002400,62,-0.74,-90.35,84.2,17.22
23,busselton,12,AU,1524006822,100,-33.64,115.35,64.14,11.88
24,maniitsoq,48,GL,1524006822,72,65.42,-52.9,24.32,6.73
25,castro,76,CL,1524006823,87,-42.48,-73.76,51.72,7.63
26,innisfail,75,CA,1524006000,74,52.02,-113.95,35.6,8.05
27,hun,0,BE,1524005400,66,50.34,4.87,59.0,3.36
28,los llanos de aridane,36,ES,1524006000,77,28.66,-17.92,64.4,6.93
29,dali,36,CN,1524006824,100,25.6,100.24,48.8,1.92
30,victoria,90,BN,1524004200,100,5.28,115.24,78.8,5.82
31,rawson,0,AR,1524006825,35,-43.3,-65.11,51.0,4.61
